gender_encoded,absences_normalized,engagement_normalized,parental_support,academic_level_normalized,pass_fail,pass_fail_label
1,0.0,0.13959965498700894,1,0.1111111111111111,1,Pass
1,0.0,0.18180142659291715,1,0.1111111111111111,1,Pass
1,1.0,0.11178447428280855,0,0.1111111111111111,0,Fail
1,1.0,0.2564592146777702,0,0.1111111111111111,0,Fail
1,1.0,0.41796692940426916,0,0.1111111111111111,1,Pass
0,1.0,0.4053717011116128,0,0.1111111111111111,1,Pass
1,1.0,0.17998818575807057,0,0.4444444444444445,0,Fail
1,0.0,0.26548895514234433,1,0.4444444444444445,1,Pass
0,0.0,0.24245847612190546,1,0.4444444444444445,1,Pass
0,0.0,0.6841056015550777,1,0.4444444444444445,1,Pass
1,0.0,0.6785896367485243,1,0.4444444444444445,1,Pass
1,0.0,0.13966860454709087,1,0.4444444444444445,1,Pass
1,1.0,0.03464383905846724,0,0.1111111111111111,0,Fail
1,1.0,0.16887338407755764,0,0.5555555555555556,0,Fail
0,1.0,0.645581360812385,0,0.5555555555555556,1,Pass
0,0.0,0.41020347412966096,1,0.3333333333333333,1,Pass
1,1.0,0.4232680898121058,0,0.4444444444444445,1,Pass
1,1.0,0.4838435932267665,0,0.4444444444444445,1,Pass
0,0.0,0.5506809100546358,1,0.4444444444444445,1,Pass
1,0.0,0.6829122437844294,1,0.4444444444444445,1,Pass
0,1.0,0.6482319410163034,0,0.4444444444444445,1,Pass
0,0.0,0.24616981878862254,0,0.4444444444444445,1,Pass
1,0.0,0.308990160765181,0,0.4444444444444445,1,Pass
1,1.0,0.11144768220086995,0,0.4444444444444445,0,Fail
1,1.0,0.15745692807168632,1,0.4444444444444445,0,Fail
1,1.0,0.1928651790799079,1,0.4444444444444445,0,Fail
1,0.0,0.25628617780102614,0,0.4444444444444445,1,Pass
1,1.0,0.21883198119268152,0,0.5555555555555556,0,Fail
1,0.0,0.7164290227261729,1,0.5555555555555556,1,Pass
0,0.0,0.5288762746552688,0,0.5555555555555556,1,Pass
0,0.0,0.626237694326711,1,0.5555555555555556,1,Pass
1,1.0,0.1428740961143608,1,0.4444444444444445,0,Fail
0,1.0,0.19067337864115003,1,0.4444444444444445,0,Fail
1,1.0,0.19564968054475457,0,0.2222222222222222,0,Fail
1,1.0,0.17059181926729158,0,0.4444444444444445,0,Fail
1,1.0,0.16522038334629452,0,0.4444444444444445,0,Fail
1,1.0,0.09335240053860214,1,0.4444444444444445,0,Fail
0,0.0,0.5651841848272515,1,0.4444444444444445,1,Pass
1,1.0,0.0,0,0.3333333333333333,0,Fail
0,0.0,0.6785233390945995,1,0.4444444444444445,1,Pass
0,1.0,0.23821675222378905,0,0.4444444444444445,0,Fail
1,0.0,0.2617225854228697,0,0.4444444444444445,1,Pass
1,1.0,0.14990562528963786,1,0.6666666666666665,0,Fail
0,0.0,0.4595952263037268,1,0.6666666666666665,1,Pass
0,0.0,0.46712199895382306,0,0.6666666666666665,1,Pass
1,1.0,0.2805186332871239,0,0.4444444444444445,0,Fail
1,1.0,0.11406975441360057,0,0.2222222222222222,0,Fail
0,0.0,0.5115991060424345,1,1.0,1,Pass
0,0.0,0.5729860927411362,1,1.0,1,Pass
0,0.0,0.48906387049681466,1,1.0,1,Pass
0,1.0,0.28045233563319893,0,1.0,0,Fail
1,1.0,0.309801644049222,0,1.0,0,Fail
0,0.0,0.5830248834984477,0,1.0,1,Pass
0,0.0,0.5818938455224886,1,0.8888888888888888,1,Pass
1,1.0,0.275408410122591,0,1.0,0,Fail
1,1.0,0.14506987441235414,1,0.4444444444444445,0,Fail
1,1.0,0.07953663243718793,1,0.5555555555555556,0,Fail
1,1.0,0.03789242410078835,1,0.4444444444444445,0,Fail
1,0.0,0.42717434758136213,1,0.4444444444444445,1,Pass
0,0.0,0.2851972587246055,0,0.4444444444444445,1,Pass
0,1.0,0.19628812695205153,0,0.2222222222222222,0,Fail
